Antioxidant;Antioxidans
William H. Thomas (physician);
William Harvey;
William Hurwitz;
William James Wanless;
William John Adie;William John Adie
William Sargant;
William Thompson Lusk;
Williams syndrome;Williams-Beuren-Syndrom
Wolfgang Wodarg;Wolfgang Wodarg
Women on Waves;Women on Waves
Working memory;Arbeitsgedächtnis
World Association for Disaster and Emergency Medicine;
World Network of Users and Survivors of Psychiatry;
World Suicide Prevention Day;
Wrist osteoarthritis;
Wyeth;Wyeth
Wylie G. Woodruff;
Yale School of Medicine;
Years of potential life lost;
Yehuda Hiss;
Yellapragada Subbarow;
Yoshitaka Fujii;
Yury Verlinsky;
Zeynel A. Karcioglu;
Élie Metchnikoff;Ilja Iljitsch Metschnikow
ΔF508;ΔF508
1% rule (aviation medicine);
1788 Doctors' Riot;
17q21.31 microdeletion syndrome;
1837 Great Plains smallpox epidemic;
1858 Bradford sweets poisoning;
1924 Los Angeles pneumonic plague outbreak;Pest#Lungenpest
1970 British Cohort Study;
1983 West Bank fainting epidemic;Arjenyattah-Epidemie
1993 Jack in the Box E. coli outbreak;
1993 Milwaukee Cryptosporidiosis outbreak;
1998 Delhi oil poisoning;
1999 Bovenkarspel legionellosis outbreak;
1q21.1 duplication syndrome;
2,4,5-Trichlorophenoxyacetic acid;2,4,5-Trichlorphenoxyessigsäure
2,4 Dienoyl-CoA reductase deficiency;
2-1-1;
2-Hydroxyglutaric aciduria;
2-Methylbutyryl-CoA dehydrogenase deficiency;
2002 Barrow-in-Furness legionellosis outbreak;
2006 dengue outbreak in India;
2008 Chinese heparin adulteration;
2009 Bolivian dengue fever epidemic;
2009 Gujarat hepatitis outbreak;
2009 flu pandemic in Africa;
2009 flu pandemic in Argentina;
2009 flu pandemic in Chile;
2009 flu pandemic in France;
2009 flu pandemic in Germany;
2009 flu pandemic in Hong Kong;
2009 flu pandemic in Japan;
2009 flu pandemic in Mexico;
2009 flu pandemic in New Zealand;
2009 flu pandemic in North America;
2009 flu pandemic in Turkey;
2009 flu pandemic in Uruguay;
2009 flu pandemic in Venezuela;
2009 flu pandemic in the United Kingdom;
2009–10 West African meningitis outbreak;
2011 dengue outbreak in Pakistan;
2012 salmonella outbreak;
2012–13 flu season;
22q11.2 distal deletion syndrome;
22q11.2 duplication syndrome;
23andMe;23andMe
24 Hours in A&E;
2q37 monosomy;
3-Methylcrotonyl-CoA carboxylase deficiency;
3-Methylglutaconic aciduria;
3-Quinuclidinyl benzilate;3-Chinuclidinylbenzilat
3-hydroxy-3-methylglutaryl-CoA lyase deficiency;
3-hydroxyacyl-coenzyme A dehydrogenase deficiency;
3C syndrome;Ritscher-Schinzel-Syndrom
3D ultrasound;3D-Ultraschall
3q29 microdeletion syndrome;
44th Medical Brigade;
48, XXXX;
49, XXXXX;
49, XXXXY syndrome;
5-SPICE framework;
714-X;
8p23.1 duplication syndrome;
A-scan ultrasound biometry;
A. Ranganadha Rao;
ABCD syndrome;
ABMRF/The Foundation for Alcohol Research;
ACET (AIDS charity);
ACTS Retirement-Life Communities;
ADEPT (medicine);
AETX;
AH v West London Mental Health Trust;
AIDA interactive educational freeware diabetes simulator;
AIDS.gov;
AIDS Services of Austin;
ALCAT test;ALCAT-Test
ALECSAT;
AL amyloidosis;
AMA Physician Masterfile;
AMN Healthcare;
APACHE II;Acute Physiology And Chronic Health Evaluation
ARCH Air Medical Service;
ASiT;
AURORA trial;
AVERT;
AVPU;
A delta fiber;
Aase syndrome;
Abass Alavi;
Abdominal angina;Angina abdominalis
Abdominal compartment syndrome;
Abdominal examination;
Abdominal guarding;Abwehrspannung
Abdominal surgery;Viszeralchirurgie
Abdominal x-ray;
Abdominojugular test;
Abducens nucleus;Nucleus nervi abducentis
Abdullah Baqui;
Aberdeen Medico-Chirurgical Society;
Aberrant subclavian artery;Arteria lusoria
Abetalipoproteinemia;Abetalipoproteinämie
Ablative brain surgery;
Ablepharon macrostomia syndrome;
Ablomin;
Abortion-rights movements;Pro-Choice
Abraham Brill;Abraham Brill
Abraham Flexner;Abraham Flexner
Abraham Jacobi;Abraham Jacobi
Abraham Low;
Absent adrenal gland;
Absolute threshold;Absolutschwelle
Absorbed dose;Energiedosis
Academy of Medical Sciences, United Kingdom;
Acadian Ambulance;
Acalvaria;
Acanthamoeba keratitis;
Acanthocyte;Akanthozyt
Accelerated idioventricular rhythm;
Accessory bile duct;
Accessory breast;
Accessory nail of the fifth toe;
Accessory nerve disorder;
Accessory pancreas;
Accident-proneness;
Accreditation Council for Graduate Medical Education;
Accreditation process for International Medical Graduates;
Acetyl chloride;Acetylchlorid
Achille-Louis Foville;
Achondrogenesis;
Acid-citrate-dextrose;Acid-Citrate-Dextrose
Acid Survivors Trust International;
Acinic cell carcinoma;
Acquired characteristic;
Acquired non-inflammatory myopathy;
Acrania;
Acrocallosal syndrome;Akrokallosales Syndrom
Acrochordon;
Acrodermatitis chronica atrophicans;Akrodermatitis chronica atrophicans Herxheimer
Acrodynia;
Acropectoral syndrome;
Acro–dermato–ungual–lacrimal–tooth syndrome;ADULT-Syndrom
Acta Ophthalmologica;
Acta Psychiatrica Scandinavica;
Actifed;
Actigraphy;Aktigraphie
Actinomycosis;Aktinomykose
Action Ambulance;
Action Medical Research;
Action on Smoking and Health;
Activated therapy;
Activation-synthesis hypothesis;
Acute-phase protein;Akute-Phase-Protein
Acute cerebellar ataxia of childhood;
Acute erythroid leukemia;
Acute haemorrhagic conjunctivitis in Ghana;
Acute hemolytic transfusion reaction;
Acute infectious thyroiditis;
Acute panmyelosis with myelofibrosis;
Acute posterior multifocal placoid pigment epitheliopathy;
Acute tubular necrosis;
Adam Neale;
Adamantiades-Behçet's-disease;
Adamantinoma;
Adams–Oliver syndrome;Adams-Oliver-Syndrom
Adams–Stokes syndrome;Adams-Stokes-Syndrom
Adaptation (eye);Adaptation (Auge)
Addenbrooke's Charitable Trust;
Adenine phosphoribosyltransferase deficiency;
Adenoiditis;
Adenosine deaminase deficiency;
Adenylosuccinate lyase deficiency;
Adhesion barrier;
Adipose-derived hormones;
Adiposis dolorosa;Lipomatosis dolorosa
Admission note;Arztbrief
Admittance and conductance in cardiac performance;
Adolescent medicine;
Adolf Lesser;
Adolfo Aristeguieta Gramcko;
Adolph Lippe;
Adolphe Vorderman;
Adrenal crisis;
Adrenal fatigue;
Adrenarche;
Adrenocortical adenoma;
Adrenomedullin;Adrenomedullin
Adrian Kantrowitz;Adrian Kantrowitz
Adults with Incapacity (Scotland) Act 2000;
Advanced Medical Priority Dispatch System;Advanced Medical Priority Dispatch System
Adventist Health;
Aemilia (physician);
Aeneas Munson;
Aeroallergen;
Aerobic conditioning;
Aeromedical Evacuation;Air Mobility Command
Aerophagia;Aerophagie
Aerosinusitis;
Aerospace physiology;
Aerotoxic syndrome;Aerotoxisches Syndrom
Aesthetic Surgery Journal;
Aesthetic medicine;
Affinity maturation;Affinitätsreifung
Aflatoxin B1;
African-Caribbean Leukaemia Trust;
African meningitis belt;
Agar diffusion test;Agardiffusionstest
Agent Green;Agent Green
Agent Pink;Agent Pink
Aggregatibacter actinomycetemcomitans;
Aggressive angiomyxoma;
Aging Cell;
Agitoxin;
Aicardi syndrome;Aicardi-Syndrom
Air Ambulance Jamaica;
Air Evac;
Air Methods;
Air purifier;
Air raid on Bari;
Aircraft rescue and firefighting;Flughafenfeuerwehr
Airtraq;
Airway pressure release ventilation;
Airway resistance;
Akira Toriyama (ophthalmologist);
Al-Dakhwar;
Al-Ruhawi;
Al Hakum (Iraq);
Alabama College of Osteopathic Medicine;
Alagille syndrome;Alagille-Syndrom
Alamo EMS;
Alan Farthing;
Alastair Buchan;
Albany College of Pharmacy and Health Sciences;
Albany Medical College;
Albert Edward Forsythe;
Albert Kligman;
Albert Londe;Albert Londe
Albert Szent-Györgyi Medical University;
Alberto Barton;Alberto Barton
Albright's hereditary osteodystrophy;
Alcohol and breast cancer;
Alcohol and weight;
Alcohol equivalence;
Alcohol septal ablation;
Alcohol thermometer;
Alcohol tolerance;
Alcoholic cardiomyopathy;
Alcoholic hallucinosis;Alkohol-Halluzinose
Alder Hey organs scandal;
Aldicarb;Aldicarb
Aldrin;Aldrin
Alegent Health System;
Alen J. Salerian;
Alessandro Achillini;Alessandro Achillini
Alex Comfort;Alex Comfort
Alexander Bakulev;
Alexander Charles O'Sullivan;
Alexander Hodgdon Stevens;
Alexander Ogston;
Alexander Skene;
Alexander Wilson (astronomer);Alexander Wilson (Astronom)
Alexander disease;Alexander-Krankheit
Alexandre Vattemare;
Alfred Blalock;Alfred Blalock
Alfred Fabian Hess;
Ali Nobakht;
Alice Hamilton;Alice Hamilton
Alice in Wonderland syndrome;Alice-im-Wunderland-Syndrom
Alimorad Farshchian;
Alimuddin Zumla;
Alkali denaturation test;
All-payer rate setting;
Allan Mullen;
Allan–Herndon–Dudley syndrome;
Allegheny University of the Health Sciences;
Allen Steere;
Allergan;Allergan
Allethrins;Allethrine
Alliance for Aging Research;
Alliance for Healthy Cities;
Allosome;Geschlechtschromosom
Allostasis;
Allostatic load;
Allothalamus;
Alpha-Amanitin;
Alpha-mannosidosis;Α-Mannosidose
Alpha-neurotoxin;
Alpha-thalassemia;Α-Thalassämie
Alpha Omega Alpha;
Alpha defensin;
Alpha wave;Elektroenzephalografie#Alpha-Wellen
Alpinia nigra;
Alström syndrome;Alström-Syndrom
Alternative complement pathway;
Alternative therapies for developmental and learning disabilities;
Alternobaric vertigo;
Altitoxin;
Altru Health System;
Alvarado score;
Alveolar process;Alveolarfortsatz
Alveolar soft part sarcoma;
Alveolar–arterial gradient;
Alvin J. Siteman Cancer Center;
Alzheimer's Association;
Alzheimer's Research UK;
Alzheimer's Society;
Alzheimer's disease in the media;
Amalgam tattoo;
Amatoxin;Amatoxine
Amblyaudia;
Ambulance Care Assistant;
Ambulance emergency response vehicle;Notarzteinsatzfahrzeug
Ambulance services of Victoria;
Ambulance station;Rettungswache
Ambulatory Payment Classification;
Ambulatory Surgery Center Association;
Amelia (birth defect);
America's Health Insurance Plans;
American Academy of Allergy, Asthma, and Immunology;
American Academy of Anti-Aging Medicine;
American Academy of Family Physicians;
American Academy of Pediatrics;American Academy of Pediatrics
American Academy of Physician Assistants;
American Academy of Sleep Medicine;American Academy of Sleep Medicine
American Association for Respiratory Care;
American Association of Colleges of Osteopathic Medicine;
American Association of Community Psychiatrists;
American Association of Endodontists;
American Association of Pro-Life Obstetricians & Gynecologists;
American Association of Public Health Physicians;
American Association of Sleep Technologists;
American Board of Family Medicine;
American Board of Internal Medicine;
American Board of Medical Specialties;
American Board of Otolaryngology;
American Board of Psychiatry and Neurology;
American Board of Sleep Medicine;
American Cancer Society Cancer Action Network;
American College of Cardiology;
American College of Chest Physicians;
American College of Emergency Physicians;
American College of Healthcare Sciences;
American College of Medical Informatics;
American College of Medical Technology;
American College of Nutrition;
American College of Osteopathic Family Physicians;
American College of Pediatricians;
American College of Physicians;American College of Physicians
American College of Radiology;American College of Radiology
American College of Sports Medicine;
American College of Surgeons;American College of Surgeons
American Group Psychotherapy Association;American Group Psychotherapy Association
American Headache Society;
American Health Care Association;
American Heart Association;American Heart Association
American Journal of Clinical Oncology;American Journal of Clinical Oncology
American Journal of Lifestyle Medicine;
American Lung Association;American Lung Association
American Medical Informatics Association;
American Medical Response;
American Medical Women's Association;
American Medical Writers Association;
American Osteopathic Association;
American Osteopathic Board of Anesthesiology;
American Osteopathic Board of Dermatology;
American Osteopathic Board of Emergency Medicine;
American Osteopathic Board of Family Physicians;
American Osteopathic Board of Internal Medicine;
American Osteopathic Board of Neuromusculoskeletal Medicine;
American Osteopathic Board of Nuclear Medicine;
American Osteopathic Board of Obstetrics and Gynecology;
American Osteopathic Board of Orthopedic Surgery;
American Osteopathic Board of Pathology;
American Osteopathic Board of Pediatrics;
American Osteopathic Board of Physical Medicine and Rehabilitation;
American Osteopathic Board of Preventive Medicine;
American Osteopathic Board of Proctology;
American Osteopathic Board of Radiology;
American Osteopathic Board of Surgery;
American Physical Therapy Association;Deutscher Verband für Physiotherapie
American Physiological Society;
American Public Health Association;
American Respiratory Care Foundation;
American School Health Association;
American Social Health Association;
American Society for Investigative Pathology;
American Society for Metabolic & Bariatric Surgery;
American Society for Reproductive Medicine;American Society for Reproductive Medicine
American Society of Clinical Oncology;
American Society of Consultant Pharmacists;
American Society of Hematology;American Society of Hematology
American Telemedicine Association;
American Thoracic Society;American Thoracic Society
Ameritox;
Ames test;Ames-Test
Amir Attaran;
Amnesic shellfish poisoning;
Amnios (biology);
Amniotic stem cell bank;
Amniotic stem cells;
Amoebic dysentery;Amöbenruhr
AmpliChip CYP450 Test;
Amplitude of accommodation;
Amsler sign;
Amygdalofugal pathway;
Amygdalohippocampectomy;
Amylophagia;
Amyoplasia;
Anaesthetic equipment;
Anaesthetic machine;Narkosegerät
Anaesthetic technician;
Anaheim Fire Department;
Anal Pap smear;
Anal probing;
Anal wink;Analreflex
Anaphylaxis Campaign;
Anaplastic astrocytoma;Anaplastisches Astrozytom
Anaplastic carcinoma;
Anastomosis;Anastomose
Anatoxin-a;
Anavex Life Sciences;
Ancestry-informative marker;
Anchoring fibrils;
Ancylostoma duodenale;
Andersen–Tawil syndrome;
Andrei Snezhnevsky;
Andrew Cappuccino;
Andrew D. Hamilton;
Andrew Halliday (physician);
Andrew McFarland;
Andrew Nicolaides;
Andrew Stimpson;Andrew Stimpson
Andrew Taylor Still;Andrew Taylor Still
Andrey Yevgenyevich Lichko;
Andrija Štampar;
Androctonus australis hector insect toxin;
Andromachus (physician);
Andrzej Szczeklik;
André Gernez;André Gernez
Anesthesia cart;
Anesthesia dolorosa;
Anesthesia provision in the United States;
Angiokeratoma of Fordyce;
Angiology;Angiologie
Angiosarcoma;Angiosarkom
Anhedonia;Anhedonie
Anil Potti;
Animal models of autism;
Animal testing on invertebrates;
Aniridia;Aniridie
Anisakis;
Anita L. Allen;
Ankle fracture;Sprunggelenkfraktur
Ankle jerk reflex;Achillessehnenreflex
Ankle replacement;
Ankylosing Spondylitis Quality of Life;
Ann Arbor staging;Ann-Arbor-Klassifikation
Ann Preston;
Anna Coleman Ladd;
Anna Dominiczak;
Anna Freud Centre;
Anna Goldfeder;
Anna Terruwe;
Annals of Emergency Medicine;Annals of Emergency Medicine
Annals of Saudi Medicine;
Anne MacGregor;
Anneewakee Treatment Center for Emotionally Disturbed Youth;
Annular pancreas;
Anomalous aortic origin of a coronary artery;
Anorectal abscess;Periproktitis
Anoscopy;Anoskopie
Antagonistic pleiotropy hypothesis;Antagonistische Pleiotropie
Antepartum haemorrhage;Peripartale Blutung
Anterior cerebral artery syndrome;
Anterior compartment syndrome of the lower leg;Tibialis-anterior-Syndrom
Anterior corticospinal tract;
Anterior cranial fossa;Fossa cranii anterior
Anterior interosseous nerve;
Anterior interosseous syndrome;Kiloh-Nevin-Syndrom
Anterior olfactory nucleus;
Anterior segment mesenchymal dysgenesis;
Anterior spinal artery;Arteria spinalis anterior
Anterior spinal veins;
Anterior temporal lobectomy;
Anthony Bowlby;
Anthony Clare;
Anthony Nolan;
Anthony of Sourozh;Anthony von Sourozh
Anthopleurin;
Anti-NMDA receptor encephalitis;Anti-NMDA-Rezeptor-Enzephalitis
Anti-apolipoprotein antibodies;
Anti-streptolysin O;Antistreptolysin O
Antibiogram;Antibiogramm
Anticipation (genetics);Antizipation (Genetik)
Antigen presentation;Antigenpräsentation
Antimicrobial prophylaxis;
Antisynthetase syndrome;
Antithrombin III deficiency;
Antley–Bixler syndrome;Antley-Bixler-Syndrom
Antoine Germain Labarraque;Antoine Germain Labarraque
Anton von Troeltsch;Anton Friedrich von Tröltsch
Antoni Gościński;
Antonio Damasio;António Damásio
Antonio Maria Valsalva;Antonio Maria Valsalva
Antonio Vallejo-Nájera;
Antonius Mathijsen;Antonius Mathijsen
Anton–Babinski syndrome;Anton-Syndrom
Antranig Chalabian;
Anwer Khan Modern Medical College;
Aortitis;Aortitis
Apert syndrome;Apert-Syndrom
Apex beat;
Apitoxin;Bienengift
ApoA-1 Milano;
Apolipoprotein;Apolipoprotein
Apollonius (physician);
Apoplexy;Apoplex
Apostherapy;
Aposthia;
Apothecaries' Hall, London;
Apothecaries' Hall of Ireland;
Aquagenic pruritus;Aquagener Pruritus
Aquagenic urticaria;Wassernesselsucht
Aqueous cream;
Archie Brain;
Archives of Disease in Childhood;
Arcuate nucleus;Nucleus arcuatus
Arcus senilis;Arcus senilis
Area postrema;Area postrema
Argininemia;
Argininosuccinic aciduria;
Argyria;Argyrie
Armed Forces Institute of Pathology;
Army Medical Department (United States);
Army Medical School;
Arnold J. Levine;Arnold J. Levine
Aromatic L-amino acid decarboxylase;Aromatische-L-Aminosäure-Decarboxylase
Aron Brand;
Array-comparative genomic hybridization;
Arriscope (surgical microscope);
Arteritic anterior ischemic optic neuropathy;
Artery of Adamkiewicz;
Artesunate suppositories;
Arthritis Research UK;
Arthritis mutilans;
Arthur Cudmore;
Arthur Gostick Shorrock;
Arthur Lester Benton;
Arthur Mitchell (physician);
Arthur Robertson Cushny;Arthur Robertson Cushny
Arthus reaction;Arthus-Reaktion
Articulatory technique;
Artificial bone;
Artificial immune system;
Artificial urinary bladder;
Artificial uterus;
Asahikawa Medical University;
Aschoff body;Aschoff-Knoten
Asclepiades of Bithynia;Asklepiades von Bithynien
Ashley Treatment;Ashley-Behandlung
Ashman phenomenon;
Asian Cardiovascular and Thoracic Annals;
Asociación Argentina de Medicina Respiratoria;
Aspartylglucosaminuria;
Assisted Human Reproduction Act;
Assisted feeding;
Associate of Science in Respiratory Care;
Associated features of bipolar disorder;
Association of American Cancer Institutes;
Association of American Physicians and Surgeons;
Association of British Insurers;
Association of Medical Superintendents of American Institutions for the Insane;
Association of Military Surgeons of the United States;
Association of Women Surgeons;
Associazione Italiana Pneumologi Ospedalieri;
Associazione Scientifica Interdisciplinare per lo Studio delle Malattie Respiratorie;
Astasis;
Asterixis;Asterixis
Asthenopia;Asthenopie
Asthma camp;
Asthma spacer;
Astragalectomy;
Astroblastoma;
Astrogliosis;
Asymmetric dimethylarginine;Asymmetrisches Dimethylarginin
Asystole;Asystolie
Ataque de nervios;
Atelosteogenesis, type II;
Atherosclerosis (journal);
Athletic pubalgia;
Athymhormic syndrome;
Atransferrinemia;Hereditäre Atransferrinämie
Atrial myxoma;
Atrial septostomy;
Atriocaval shunt;
Attending physician;Oberarzt
Atul Kumar;
Atypical small acinar proliferation;
Aubrey Lewis;
Auckland Rescue Helicopter Trust;
Audiometrist;
Auditory agnosia;Seelentaubheit
Augie Nieto;
August Breisky;August Breisky
Auspitz's sign;
Australian Capital Territory Ambulance Service;
Australian College of Rural and Remote Medicine;
Australian Measles Control Campaign;
Australian Psychology Accreditation Council;
Australian Red Cross Blood Service;
Australian Society of Anaesthetists;
Australian Vaccination-Skeptics Network;
Australian paradox;
Autism Society of America;
Autistica;
AutoAnalyzer;
AutoPulse;
Autogenic training;Autogenes Training
Autoimmune gastrointestinal dysmotility;
Autoimmune hypophysitis;
Autoimmune lymphoproliferative syndrome;
Autoimmune polyendocrine syndrome;Polyendokrine Autoimmunerkrankungen
Autoimmune polyendocrine syndrome type 1;
Autoimmune regulator;
Autoinjector;Autoinjektor
Autologous;
Autologous chondrocyte implantation;Autologe Chondrozyten-Transplantation
Autologous endometrial coculture;
Autologous immune enhancement therapy;
Autologous matrix-induced chondrogenesis;Autologe Matrixinduzierte Chondrogenese
Autologous patient specific tumor antigen response;
Automated lamellar keratoplasty;
Automated refraction system;
Automatism (medicine);
Autophagy (journal);
Autophobia;Autophobie
Autoradiograph;Autoradiographie
Autosomal dominant nocturnal frontal lobe epilepsy;
Autosomal recessive multiple epiphyseal dysplasia;
Autosomal recessive polycystic kidney;
Avedis Donabedian;Qualitätsmodell nach Donabedian
Aversion therapy;Aversionstherapie
Avian Bornavirus;
Aviation, Space, and Environmental Medicine;
Aviation medical examiner;Fliegerarzt
Avicenna Research Institute;
Avid Radiopharmaceuticals;
Avindra Nath;
Avraham Rivkind;
Axon hillock;Axonhügel
Axon terminal;
Axonotmesis;Axonotmesis
Azo compound;Azofarbstoff
Aztec medicine;
BASDAI;
BCG disease outbreak in Finland in the 2000s;
BC Cancer Agency;
BHIE;
BI-RADS;Breast Imaging Reporting and Data System
BMC Health Services Research;
BRAF (gene);
BRAT diet;
BTG plc;BTG
Baastrup's sign;Morbus Baastrup
Baby Friendly Hospital Initiative;
Baby Friendly Initiative (UK);
Babycurus toxin 1;
Bachelor of Science in Respiratory Care;
Bacillus cereus;Bacillus cereus
Back-Up Trust;
Bagassosis;
Bakri balloon;
Balantidiasis;
Ballard Maturational Assessment;
Balloon sinuplasty;
Balloon tamponade;
Ballottement;
Balmis Expedition;
Balo concentric sclerosis;Konzentrische Sklerose Baló
Band 3;Anionen-Austauscher 1
Bandage;Bandage
Bankole Johnson;
Bannayan–Riley–Ruvalcaba syndrome;Ruvalcaba-Myhre-Smith-Syndrom
Banti's syndrome;
Baptist Sports Medicine;
Barakat syndrome;
Barbara Bates (doctor);
Barber surgeon;Bader
Barbiturate overdose;
Barcoo fever;
Bare lymphocyte syndrome;
Barend Mons;
Barium sulfate suspension;
Barnabas Kelet Henagan;Barnabas Kelet Henagan
Barrel cortex;
Barrie Lambert;
Barrow Neurological Institute;
Barth syndrome;
Bartholin's cyst;Bartholin-Zyste
Bartholin's gland;Glandula vestibularis major
Bartholomew Mosse;
Bartonella;Bartonella
Bartonella bacilliformis;
Bartter syndrome;Bartter-Syndrom
Basal forebrain;
Basal rate;Basalrate
Basaloid large cell carcinoma of the lung;
Basel Institute for Immunology;Basel Institute for Immunology
Basigin;Basigin
Basilar invagination;
Basilar skull fracture;Schädelbasisbruch
Basophilic stippling;
Bassen-Kornzweig syndrome;
Batrachotoxin;Batrachotoxin
Battalion Aid Station;
Battlefield medicine;
Battlemind;
Baux score;
Bayesian approaches to brain function;
Baylor College of Medicine Academy at Ryan;
Baystate Health;
Bazex–Dupré–Christol syndrome;
Beatriz Galindo;
Beauty mark;Schönheitsfleck
Beck's triad (cardiology);
Beck Institute for Cognitive Behavior Therapy;
Becker's nevus;Becker-Nävus
Becker Professional Education;
Beckley Foundation;
Bed rest;Bettruhe
Bedford Stem Cell Research Foundation;
Bedwetting alarm;Klingelhose
Behavioral optometry;Funktionaloptometrie
BeingGirl;
Belgian Medical Component;
Bellini duct carcinoma;
Belsazar Hacquet;Belsazar Hacquet
Ben's Friends;
Bence Jones protein;Bence-Jones-Protein
Benedikt syndrome;Benedikt-Syndrom
Benenden health;
Benign familial infantile epilepsy;
Benign familial neonatal seizures;
Benign fasciculation syndrome;Benigne Faszikulation
Benign neonatal seizures;
Benign paroxysmal torticollis;
Benjamin Castleman;
Benjamin Waterhouse;
Bensley Bermuda Volunteer Rescue squad;
Berg Balance Scale;
Bernard Pertuiset;
Bernard Pécoul;
Bernard Siegel;
Bernardino Ramazzini;Bernardino Ramazzini
Bernard–Soulier syndrome;Bernard-Soulier-Syndrom
Bernhard von Langenbeck;Bernhard von Langenbeck
Bessie Moses;
Bestbets;
Beta-2 microglobulin;Β2-Mikroglobulin
Beta-ketothiolase deficiency;
Beta-mannosidosis;Β-Mannosidose
Beta adrenergic receptor kinase-2;
Beta amyloid;Beta-Amyloid
Beta defensin;
Beta wave;Betawelle
Bethlem myopathy;Bethlem-Myopathie
Bhagawan Koirala;
Bhaskar Dasgupta;
Biceps femoris tendon avulsion;
Bicuspid aortic valve;Bikuspidalität
Bidomain model;
Bielschowsky stain;
BigBrain;
Bihar school meal poisoning incident;
Bilateral frontoparietal polymicrogyria;
Bile acid malabsorption;
Bilevel positive airway pressure;
Biliblanket;
Binasal hemianopsia;
Binder's syndrome;
BioLineRx;
BioMed Central;BioMed Central
BioMedical Admissions Test;
Bioactive glass;
Bioartificial liver device;
Bioceramic;
Bioimpedance;
Bioinformatics Resource Centers;
Biological Psychiatry;
Biological engineering;Bioengineering
Biological pacemaker;
Biology of depression;
Biomagnification;Biomagnifikation
Biomarker discovery;
Biomechatronics;Biomechatronik
Biomedical Equipment Technician;
Biomedical waste;
Biomedicine;Biomedizin
Biomet;
Bionic contact lens;
Bionor Pharma;
Bioprocess;
Biopsychosocial model;
Biostatistics;Biostatistik
Biotelemetry;
Biotin deficiency;
Biotinidase;Biotinidase
Biotinidase deficiency;Biotinidasemangel
Biovail;Biovail
Biphasic cuirass ventilation;Kürass-Ventilation
Bipolar disorder research;
Bird fancier's lung;Vogelhalterlunge
Birmingham East and North Primary Care Trust;
Birth control in the United States;
Birthing chair;Geburtsstuhl
Birthmark;
Bishop score;Bishop-Score
Bisindolylmaleimide;Bisindolylmaleimide
Bismuthia;
Bispectral index;
Bitemporal hemianopsia;
Bizarre ER;
BlackBerry thumb;
Black Dog Institute;
Black light;Wood-Lampe
Blackwater fever;
Bladder spasm;
Blast-related ocular trauma;
Blastocystis hominis;
Bleeding diathesis;Hämorrhagische Diathese
Blepharochalasis;
Blepharospasm;Blepharospasmus
Blind spot (vision);Blinder Fleck (Auge)
Blindsight;Rindenblindheit
Blocq's disease;
Blood fractionation;
Blood irradiation therapy;
Blood management;Patient Blood Management
Blood squirt;
Blood transfusion in Sri Lanka;
Blood volume;Blutvolumen
Bloodless surgery;
Bloom syndrome;Bloom-Syndrom
Blount's disease;Blount-Krankheit
Blowout fracture;Orbitabodenfraktur
Bloxsom air lock;
Blue Cross Blue Shield Association;
Blue Cross Blue Shield of Massachusetts;
Blue rubber bleb nevus syndrome;Blue-rubber-bleb-naevus-Syndrom
BmKAEP;
Body donation;Körperspende
Body fluid;Körperflüssigkeit
Body volume index;
Bodywork (alternative medicine);
Boehm syndrome;
Boerhaave syndrome;Boerhaave-Syndrom
Bogota bag;
Bohdan Pomahač;Bohdan Pomahač
Bolam v Friern Hospital Management Committee;
Bolus (radiation therapy);
Bone Marrow Donors Worldwide;
Bone Medical;
Bone remodeling period;
Bone resorption;
Bonnie S. Dunbar;
Book of the Ten Treatises of the Eye;
Bookmarking;
Boomerang dysplasia;
Boonshoft School of Medicine;
Boris Karvasarsky;
Borna disease;Borna-Krankheit
Boron trichloride;Bortrichlorid
Boron trifluoride;Bortrifluorid
Borrelia;Borrelien
Boston Emergency Medical Services;
Boston Phrenological Society;
Boston University Medical Campus;
Bottled gas;Gasflasche
Bouba/kiki effect;Anmutung
Boudreaux's Butt Paste;
Bowen's disease;Morbus Bowen
Brachioradial pruritis;
Brachycephaly;Brachycephalie
Brachydactyly;Brachydaktylie
Braden Scale for Predicting Pressure Ulcer Risk;
Bradford Hill criteria;
BrainGate;
Brain & Behavior Research Foundation;
Brain fag syndrome;
Brain fever;
Brain healing;
Brain natriuretic peptide;Brain Natriuretic Peptide
Branch retinal artery occlusion;
Branchial arch;
Branchio-oculo-facial syndrome;
Branchio-oto-renal syndrome;
Braxton Hicks contractions;Braxton-Hicks-Kontraktion
Brazilian purpuric fever;
Breakthrough Breast Cancer;
Breast Cancer Campaign;
Breast Cancer Care;
Breast cancer survivors' dragon boating;
Breastfeeding promotion;
Breath-holding spell;Affektkrampf
Brenda Milner;Brenda Milner
Breslow's depth;Tumordicke nach Breslow
Brevetoxin;Brevetoxine
Brian Mehling;
Bright's disease;
Brighton and Sussex Medical School;
Brioschi (company);
Bristol stool scale;Bristol-Stuhlformen-Skala
British Association for Behavioural and Cognitive Psychotherapies;
British Association for Immediate Care;
British Columbia Ambulance Service;
British Doctors Study;British Doctors Study
British Heart Foundation;
British Journal of Diabetes and Vascular Disease;
British Journal of Haematology;British Journal of Haematology
British Lung Foundation;
British Neuropathological Society;
British Nutrition Foundation;
British Pregnancy Advisory Service;
British Society for Immunology;
British Thyroid Foundation;
British birth cohort studies;
Brittle asthma;
Britton Chance;Britton Chance
Brock string;
Brodie abscess;
Brodifacoum;Brodifacoum
