Antioxidant;Antioxidans
Saddle nose;Sattelnase
Safety pharmacology;Sicherheitspharmakologie
Saline flush;Kochsalzlösung Spülen
Salpingoophorectomy;Salpingoophorectomy
Saphena varix;Saphena Krampfadern
Sarcomatoid carcinoma;Sarcomatoid Karzinom
Say syndrome;Sagen Syndrom
Scalp dysesthesia;Kopfhaut dysesthesia
Scalp pruritus;Kopfhaut Juckreiz
Schaeffer's sign;Schaeffer Zeichen
Scheie syndrome;Scheie-Syndrom
Schick test;Schick test
Schinzel–Giedion syndrome;Schinzel-Giedion-Syndrom
Schistosomiasis (skin symptoms);Schistosomiasis (Haut-Symptome)
School nursing;Schulkrankenschwester
Schwannoma;Schwannom
Schöpf–Schulz–Passarge syndrome;Schöpf-Schulz-Passarge-Syndrom
Sciatic nerve injury;Ischiasnerv Verletzungen
Scientific medicine;Schulmedizin
Scintimammography;Scintimammography
Sclerema neonatorum;Sclerema neonatorum
Scleroderma-like reaction to taxanes;Sklerodermie-wie die Reaktion auf Taxane
Scleromyositis;Scleromyositis
Sclerosing lymphangitis;Sklerosierende lymphangitis
Sclerotic fibroma;Sklerotische Fibrom
Scorpion sting;Scorpion sting
Scottish Centre for Regenerative Medicine;Scottish Centre for Regenerative Medizin
Scratch dermatitis;Kratz-dermatitis
Scrofuloderma;Scrofuloderma
Scrotodynia;Scrotodynia
Scrotoplasty;Scrotoplasty
Sea anemone dermatitis;Seeanemone dermatitis
Sea urchin injury;Seeigel Verletzungen
Seafood allergy;Meeresfrüchte-Allergie
Sealpox;Sealpox
Seaweed dermatitis;Algen dermatitis
Sebaceoma;Sebaceoma
Sebaceous adenoma;Talg-Adenom
Sebaceous hyperplasia;Talg-Hyperplasie
Sebaceous nevus syndrome;Talg-Nävus-Syndrom
Seboacanthoma;Seboacanthoma
Seborrheic-like psoriasis;Seborrhoische-wie Schuppenflechte (psoriasis)
Seborrheic keratosis with squamous atypia;Seborrhoische Keratose mit Plattenepithelkarzinome Atypien
Secondary cutaneous CD30+ large-cell lymphoma;Sekundäre kutane CD30+ groß-Zell-Lymphom
Secondary cutaneous amyloidosis;Sekundäre Haut-Amyloidose
Secondary lymphedema;Sekundäre Lymphödeme
Secondary systemic amyloidosis;Sekundäre systemische Amyloidose
Segmental resection;Segmentresektion
Self-healing juvenile cutaneous mucinosis;Self-healing-Jugendliche Haut mucinosis
Self-healing papular mucinosis;Selbst-Heilung Papeln mucinosis
Senile pruritus;Senile Juckreiz
Sensory ataxia;Sensorische Ataxie
Sensory nerve;Sensorische Nerven
Senter syndrome;Senter-Syndrom
Sentinel loop;Sentinel-Schleife
Seoul virus;Seoul-virus
Septal panniculitis;Septal pannikulitis
Septic thrombophlebitis;Septische thrombophlebitis
Sequela;Komplikation
Seroconversion;Serokonversion
Serositis;Serositis
Serpiginous;Serpiginous
Setleis syndrome;Setleis-Syndrom
Shawl scrotum;Schal Hodensack
Shell nail syndrome;Shell-nail-Syndrom
Shellfish poisoning;Muschelvergiftung
Shiitake mushroom dermatitis;Shiitake-Pilz dermatitis
Shivering;Zittern
Sick cell syndrome;Kranken Zelle-Syndrom
Silent sinus syndrome;Silent-sinus-Syndrom
Silica granuloma;Silica-Granulom
Silicone granuloma;Silikon-Granulom
Simple interrupted stitch;Einfach unterbrochen Stich
Sims' position;Sims " - Stellung
Sinoatrial arrest;Sinoatrial Verhaftung
Sinusoidal hemangioma;Sinus-Hämangiom
Skeletal survey;Skelett-Umfrage
Ski sickness;Ski-Krankheit
Skin and skin structure infection;Haut und Struktur-Infektion
Skin dimple;Haut Grübchen
Skin fragility syndrome;Haut zerbrechlichkeit Syndrom
Skin pop scar;Haut pop-Narbe
Skin track;Haut track
Sloan letters;Sloan Buchstaben
Small-bowel follow-through;Kleine-Darm-follow-through
Small-cell melanoma;Small-cell Melanom
Small plaque parapsoriasis;Kleine Plakette parapsoriasis
Smoker's face;Smoker ' s Gesicht
Sociological illness;Soziologische Krankheit
Soft tissue pathology;Weichteil-Pathologie
Solar erythema;Solar-Erythem
Solar purpura;Solar-purpura
Solitary cutaneous leiomyoma;Einsame kutane Leiomyom
Solitary mastocytoma;Alleines mastocytoma
Solitary neurofibroma;Einsame neurofibroma
Solitary trichoepithelioma;Einsame trichoepithelioma
Somatosensory amplification;Somatosensorischen Verstärkung
Soot tattoo;Ruß tattoo
Source document;Quelle Dokument
Sowda;Sowda
Speculoscopy;Speculoscopy
Sperm granuloma;Sperma Granulom
Spermatogenesis arrest;Spermatogenese Verhaftung
Spermaturia;Spermaturia
Spica splint;Spica schiene
Spinal enthesopathy;Wirbelsäule enthesopathy
Spindle cell lipoma;Spindel Zelle Lipom
Spiradenoma;Spiradenoma
Spiral fracture;Torsionsbruch
Spirometra erinaceieuropaei;Spirometra erinacei-europaei
Splenic lymphoma with villous lymphocytes;Milz-Lymphom mit villöses Lymphozyten
Splint (medicine);Schiene (Medizin)
Splinter hemorrhage;Splinter Blutungen
Spondylitis;Spondylitis
Spondylodiscitis;Spondylodiscitis
Spotted lunulae;Gesichtet lunulae
Sputum culture;Sputum Kultur
Squamous intraepithelial lesion;Plattenepithelkarzinome intraepitheliale Läsion
Squamous metaplasia;Plattenepithelkarzinome Metaplasie
Staining of the nail plate;Färbung der Nagelplatte
Status dystonicus;Status dystonicus
Stauffer syndrome;Stauffer-Syndrom
Steatocystoma simplex;Steatocystoma simplex
Steeple sign;Kirchturm-Zeichen
Stercoral perforation;Stercoral perforation
Stercoral ulcer;Stercoral Geschwür
Sternal cleft;Sternal Spalte
Steroid acne;Steroid-Akne
Steroid folliculitis;Steroid-Follikulitis
Stertorous;Stertorös
Stiff skin syndrome;Steif Haut-Syndrom
Stimulant maintenance;Stimulierende Pflege
Stippled nails;Genarbte Nägel
Stomatoplasty;Stomatoplasty
Straight leg raise;Lasègue-Zeichen
Stranger anxiety;Fremdeln
Strangury;Tenesmus vesicae
Streptococcal intertrigo;Streptokokken-intertrigo
Stress hormone;Stresshormone
Striae atrophicans;Striae atrophicans
Striae distensae;Striae distensae
Striate keratoderma;Kerbung keratoderma
String sign;String Zeichen
Stucco keratosis;Stuck Keratose
Subacute cutaneous lupus erythematosus;Subakute kutanen lupus erythematodes
Subacute myelo-optic neuropathy;Subakute myelo-Optikusneuropathie
Subcortical ischemic depression;Subkortikalen ischämischen depression
Subcutaneous abscess;Subkutaner Abszess
Subcutaneous granuloma annulare;Subkutane Granulom annulare
Subepidermal calcified nodule;Subepidermal verkalkte Knötchen
Subglottic stenosis;Subglottischem Stenose
Subgroup analysis;Subgruppen-Analyse
Subspecialty;Teilgebiet
Sucking blister;Saugen blister
Sulcoplasty;Sulcoplasty
Sulfonamide hypersensitivity syndrome;Sulfonamid-hypersensitivitätssyndrom
Sulzberger–Garbe syndrome;Sulzberger-Garbe-Syndrom
Superficial acral fibromyxoma;Oberflächliche acral fibromyxoma
Superficial granulomatous pyoderma;Oberflächliche granulomatöse Pyodermie
Superficial pustular folliculitis;Oberflächliche Follikulitis pustulöse
Superinfection;Superinfektion
Supernumerary kidney;Superkompakt Niere
Supernumerary nipples–uropathies–Becker's nevus syndrome;Superkompakt Brustwarzen-uropathies-Becker-Nävus-Syndrom
Supernumerary phantom limb;Superkompakt Phantomschmerz
Suprapubic cystostomy;Suprapubischen cystostomy
Surfer's knots;Surfer Knoten
Surfer's myelopathy;Surfer Myelopathie
Surgical lubricant;Chirurgische Schmiermittel
Surgical scissors;Chirurgische Schere
Surgical tape;Chirurgische Band
Swan neck deformity;Schwanenhals-Deformität
Sweet's syndrome-like dermatosis;Sweet-Syndrom-wie Dermatose
Sycosis vulgaris;Sycosis vulgaris
Symblepharon;Symblepharon
Synovectomy;Synovektomie
Synovitis;Synovitis
Syphilid;Syphilid
Syringobulbia;Syringobulbia
Syringocystadenoma papilliferum;Syringocystadenoma papilliferum
Syringofibroadenoma;Syringofibroadenoma
Syringoma;Syringom
Systematized epidermal nevus;Systematisierte epidermalen Muttermal
Systemic candidiasis;Systemische candidiasis
T-cell leukemia;T-Zell-Leukämie
T-cell lymphoma;T-Zell-Lymphom
Tachycardia-induced cardiomyopathy;Tachykardie-induzierte Kardiomyopathie
Tachylalia;Tachylalia
Taeniasis;Taeniasis
Tailor's bunion;Schneider Hallux valgus
Tar acne;Tar Akne
Tar melanosis;Tar Melanose
Targetoid hemosiderotic hemangioma;Targetoid hemosiderotic Hämangiom
Telangiectasia macularis eruptiva perstans;Teleangiektasien macularis eruptiva perstans
Teleopsia;Teleopsia
Tenderness (medicine);Zärtlichkeit (Medizin)
Terminal osseous dysplasia with pigmentary defects;Terminal ossäre Dysplasie mit Pigment-Mängel
Terson syndrome;Terson-Syndrom
Tertiary hyperparathyroidism;Tertiärer Hyperparathyreoidismus
Testicular atrophy;Hodenatrophie
Testicular sperm extraction;Testikuläre Spermien-Extraktion
Testicular trauma;Hoden-trauma
Texier's disease;Texier-Krankheit
Theca lutein cyst;Theca lutein-Zyste
Therapeutic angiogenesis;Therapeutische Angiogenese
Therapeutic privilege;Therapeutische Privileg
Thermal keratosis;Thermische Keratose
Thiopurine;Thiopurine
Thomas test;Thomas-Handgriff
Throat;Kehle
Thrombocytopenic purpura;Thrombozytopenische purpura
Thrombohemorrhagic event;Thrombohemorrhagic Veranstaltung
Thymic hypoplasia;Thymus-Hypoplasie
Thymoma with immunodeficiency;Thymom mit Immunschwäche
Thymus hyperplasia;Thymus-Hyperplasie
Thyrotomy;Thyrotomy
Tick-borne lymphadenopathy;Tick-borne Lymphadenopathie
Tick infestation;Zecken-Befall
Tinea barbae;Tinea barbae
Tinea corporis gladiatorum;Tinea corporis gladiatorum
Tinea faciei;Tinea faciei
Tinea imbricata;Tinea imbricata
Tinea manuum;Tinea manus
Tinea nigra;Tinea nigra
Tissue typing;Gewebetypisierung
Titanium metallic discoloration;Titan-metallic-Verfärbung
Tooth and nail syndrome;Tooth and nail-Syndrom
Tophus;Zahnsteins
Tornwaldt cyst;Tornwaldt-Zyste
Total mesorectal excision;Totale mesorektale Exzision
Touton giant cell;Touton riesigen Zelle
Toxic granulation;Toxische granulation
Toxin and Toxin-Target Database;Toxin-und Toxin-Ziel-Datenbank
Tracheal tumor;Luftröhren-tumor
Trachonychia;Trachonychia
Traction bronchiectasis;Traktion bronchiektasien
Transient bullous dermolysis of the newborn;Transiente bullöse dermolysis des Neugeborenen
Transient erythroporphyria of infancy;Transiente erythroporphyria der kindheit
Transient hypogammaglobulinemia of infancy;Transitorische hypogammaglobulinämie der kindheit
Transient neonatal pustular melanosis;Vorübergehende neonatale pustulöse Melanose
Transperineal biopsy;Transperineal Biopsie
Transrectal biopsy;Transrektale Biopsie
Transrectal ultrasonography;Transrektale Prostatasonographie
Transsphenoidal surgery;Transsphenoidal Chirurgie
Transurethral needle ablation of the prostate;Transurethrale Nadel ablation der Prostata
Traumatic alopecia;Traumatische Alopezie
Traumatic anserine folliculosis;Traumatische Krähenfüße folliculosis
Traumatic calcinosis cutis;Traumatische calcinosis cutis
Traumatic cardiac arrest;Traumatische Herzstillstand
Traumatic neuroma;Traumatische Neurom
Traumatic purpura;Traumatische purpura
Traumatic spondylopathy;Traumatische spondylopathy
Treatment-resistant depression;Therapieresistenten depression
Trendelenburg's sign;Trendelenburg-Zeichen
Treponematosis;Treponematose
Trepopnea;Trepopnea
Trichilemmal carcinoma;Trichilemmal Karzinom
Trichilemmoma;Trichilemmoma
Trichoadenoma;Trichoadenoma
Trichoblastoma;Trichoblastoma
Trichodiscoma;Trichodiscoma
Trichoepithelioma;Trichoepitheliom
Trichofolliculoma;Trichofollikulom
Trichomegaly;Trichomegaly
Trichostasis spinulosa;Trichostasis spinulosa
Tricho–dento–osseous syndrome;Tricho-zahn-Knochen-Syndrom
Tricho–rhino–phalangeal syndrome;Tricho-rhino-phalangeal-Syndrom
Trigeminal motor nucleus;Trigeminal motor Kern
Trigeminal trophic lesion;Trigeminal trophischen Läsion
Trigonitis;Trigonitis
Trilogy of Fallot;Fallot-Trilogie
Trimalleolar fracture;Trimalleolar Fraktur
Tripe palms;Kutteln Palmen
Triple response of Lewis;Triple Antwort von Lewis
Triple test score;Triple-test-Ergebnis
Triplegia;Triplegia
Trophoblastic neoplasm;Trophoblastic Neubildung
Tropical acne;Tropische Akne
Tropical splenomegaly syndrome;Tropische Splenomegalie-Syndrom
Trumpeter's wart;Trumpeter ' s Warze
Tuberculoid leprosy;Tuberculoid Lepra
Tuberculosis cutis orificialis;Tuberculosis cutis orificialis
Tuberculous cellulitis;Tuberkulösen cellulitis
Tuberculous gumma;Tuberkulösen gumma
Tuberculous lymphadenitis;Tuberkulösen lymphadenitis
Tuboplasty;Tuboplasty
Tubulopathy;Tubulopathie
Tufted angioma;Getuftete angioma
Tufted folliculitis;Getuftete Follikulitis
Tula virus;Tula virus
Tulip fingers;Tulip Finger
Tumid lupus erythematosus;Tumid lupus erythematodes
Tumor alopecia;Tumor Alopezie
Tumor initiation;Tumor Einleitung
Tumor of the stomach;Tumor im Magen
Tumor promotion;Tumor-Förderung
Tumoral calcinosis;Tumoral calcinosis
Tympanocentesis;Tympanocentesis
Tyrosinemia type II;Tyrosinemia Typ II
Tzanck test;Tzanck-Test
UV-sensitive syndrome;UV-empfindlich-Syndrom
Ulcerative dermatitis;Ulzerative dermatitis
Ulerythema;Ulerythema
Ullrich disease;Ullrich Krankheit
Ulnar deviation;Ulnardeviation
Ulnar–mammary syndrome;Ulnaren-Mamma-Syndrom
Ultraviolet light therapy;UV-Licht-Therapie
Umbilical granuloma;Nabelschnur-Granulom
Umbilical line;Nabelschnur-line
Undervirilization;Undervirilization
Unilateral nevoid telangiectasia;Einseitige nevoid Teleangiektasien
Unilateral palmoplantar verrucous nevus;Einseitige palmoplantare verrucous Muttermal
Universal angiomatosis;Universal angiomatose
University of Pennsylvania School of Nursing;University of Pennsylvania School of Nursing
Unnatural death;Unnatürlichen Tod
Unstable angina;Instabile angina pectoris
Uranium dermatosis;Uran Dermatose
Uremic pericarditis;- Urämisches pericarditis
Uremic pruritus;- Urämische pruritus
Ureterolysis;Ureterolysis
Ureteroscopy;Ureteroskopie
Ureteroureterostomy;Ureteroureterostomy
Urethral caruncle;Harnröhren-Karunkel
Urethral foreign body;Harnröhren-Fremdkörper
Uricosuria;Uricosuria
Urinary bladder disease;Harnblase Krankheit
Urinary urgency;Harndrang
Urine flow rate;Uroflowmetrie
Urogenital neoplasm;Urogenital-Neubildung
Urogenital pelvic malignancy;Urogenital-Becken-Malignität
Urology robotics;Urologie Robotik
Uropathy;Uropathy
Urostomy;Urostoma
Urticaria-like follicular mucinosis;Urtikaria-wie follikulären mucinosis
Urticarial allergic eruption;Urtikarielle allergische eruption
Urticarial dermatoses;Urtikarielle Dermatosen
Urticarial erythema multiforme;Urtikarielle erythema multiforme
Urticarial syndromes;Urtikarielle Syndrome
Uterine atony;Uterusatonie
Uterotonic;Uterotonic
Uvulotomy;Uvulotomy
VA conduction;VA-Leitung
Vagabond's leukomelanoderma;Vagabond leukomelanoderma
Vaginal contraction;Vaginal-Kontraktion
Vaginal ultrasonography;Vaginal-Sonographie
Vaginectomy;Vaginectomy
Valgus stress;- Valgus-stress
Vascular occlusion;Gefäßverschluss
Vasculogenesis;Vaskulogenese
Vasoactive;Vasoaktive
Vasomotor center;Vasomotorische Zentrum
Vasospastic macule;Vasospastic macule
Vein stripping;Stripping (Operation)
Venereology;Venerologie
Venography;Phlebografie
Venous insufficiency ulceration;Venöse Insuffizienz Geschwüre
Venous stasis;Venöse Stase
Ventricular flutter;Kammerflattern
Ventricular outflow tract obstruction;Ventricular outflow tract Behinderung
Ventriculostomy;Ventriculostomy
Vernet's syndrome;Vernet-Syndrom
Verruca plana;Verruca plana
Verrucae palmares et plantares;Verrucae palmares et plantares
Verrucous cyst;Verrucous Zyste
Verrucous lupus erythematosus;Verrucous lupus erythematodes
Verrucous perforating collagenoma;Verrucous Perforieren collagenoma
Verruga peruana;Verruga peruana
Vesicopustular dermatosis;Vesicopustular Dermatose
Vesicular pemphigoid;Vesikuläre pemphigoid
Vesiculopustular eruption and leukemoid reaction in Down syndrome;Vesiculopustular eruption und leukemoid Reaktion in Down-Syndrom
Vestibular papillomatosis;Vestibuläre Papillomatose
Vibratory angioedema;Schwingende Angioödem
Videoscope;Videoskop
Vinegar test;Essig-test
Viral-associated trichodysplasia;Viral-assoziierten trichodysplasia
Viral culture;Virale Kultur
Viral encephalitis;Virale Enzephalitis
Viral pathogenesis;Virale Pathogenese
Viscerotropic leishmaniasis;Viscerotropic Leishmaniose
Vitamin K reaction;Vitamin-K-Reaktion
Vitiligo ponctué;Vitiligo ponctué
Voluntary commitment;Unterbringung
Von Graefe's sign;Graefe-Zeichen
Vulvar childhood pemphigoid;Vulva kindheit pemphigoid
Waldenström hyperglobulinemic purpura;Purpura hyperglobulinaemica
Warkany syndrome 1;Trisomie 8
Warning signs of suicide;Warnzeichen Selbstmord
Warty dyskeratoma;Warzig dyskeratoma
Watson syndrome;Watson-Syndrom
Waxy keratosis of childhood;Waxy Keratose der kindheit
Waxy skin;Wächserne Haut
Weathering nodule of ear;Verwitterung Knoten im Ohr
Weber–Christian disease;Weber-Christian-Krankheit
Weight-bearing;Gewicht-Lager
Wellens' syndrome;Wellens " - Syndrom
Wende–Bauckus syndrome;Wende-Bauckus-Syndrom
Westerhof syndrome;Westerhof-Syndrom
Wet burp;Nass rülpsen
Wheat warehouse itch;Weizen Lager Jucken
White piedra;Weiße piedra
White superficial onychomycosis;Weiß oberflächliche Onychomykose
Widow maker;Widow maker
Wild Solutions;Wild-Lösungen
Wildervanck syndrome;Wildervanck-Syndrom
Wilson test;Wilson test
Wilson–Turner syndrome;Wilson-Turner-Syndrom
Window period;Diagnostische Lücke
Wissler's syndrome;Wissler-Syndrom
Woolly hair nevus;Wolliges Haar Muttermal
Woronoff's ring;Woronoff ring
Wrinkly skin syndrome;Faltige Haut-Syndrom
X-linked hypertrichosis;X-linked hypertrichosis
X-type histiocytosis;X-type-histiozytose
Xanthelasmoidal mastocytosis;Xanthelasmoidal Mastozytose
Xanthoma diabeticorum;Xanthoma diabeticorum
Xanthoma disseminatum;Xanthoma disseminatum
Xanthoma striatum palmare;Xanthoma striatum palmare
Xanthomatous biliary cirrhosis;Xanthomatous biliäre Zirrhose
Xanthopsia;Xanthopsia
Xerotic eczema;Xerotischen Ekzeme
Yellow nail syndrome;Yellow-nail-Syndrom
Yemenite deaf-blind hypopigmentation syndrome;Jemenitischen der taub-blinden Hypopigmentierung-Syndrom
Zahn infarct;Zahn Infarkt
Zeism;Zeism
Zirconium granuloma;Zirkonium-Granulom
Zoster-immune globulin;Zoster-immunglobulin
Zosteriform metastasis;Zosteriform Metastasen
Zosteriform speckled lentiginous nevus;Zosteriform gesprenkelt lentiginous Muttermal
Acquired hemolytic anemia;Erworbene hämolytische Anämie
Acronyms in healthcare;Akronyme im Gesundheitswesen
Adenitis;Adenitis
Arterial tree;Arterielle Baum
Arthropod bites and stings;Arthropoden Bisse und Stiche
Bacterial flora;Bakterielle flora
Brain function;Gehirn-Funktion
Brooke–Fordyce syndrome;Brooke-Fordyce-Syndrom
Chemotherapy regimens;Chemotherapien
Colic;Kolik
Corneal dystrophy (human);Hornhaut-Dystrophie (menschlichen)
Elizabeth Blackwell Medal;Elizabeth Blackwell-Medaille
Epithelioma cuniculatum;Epithelioma cuniculatum
Esophageal disease;Speiseröhrenkrebs Krankheit
Eye disease;Krankheiten des Auges
Glossary of alternative medicine;Glossar der alternative Medizin
Glossary of clinical research;Glossar der klinischen Forschung
Glossary of diabetes;Glossar von diabetes
Glossary of psychiatry;Glossar Psychiatrie
Hematologic disease;Hämatologische Erkrankungen
Hepato-biliary diseases;Hepatobiliären Erkrankungen
Hormone therapy;Hormontherapie
ICD-10 Procedure Coding System;ICD-10 Procedure Coding System
Index of HIV/AIDS-related articles;Index der HIV/AIDS-related articles
Instruments used in anesthesiology;Instrumente, die in der Anästhesiologie
Instruments used in cardiology;Instrumente, die in der Kardiologie
Instruments used in dermatology;Instrumente, die in der Dermatologie
Instruments used in endocrinology;Instrumente, die in der Endokrinologie
Instruments used in gastroenterology;Instrumente, die in der Gastroenterologie
Instruments used in medical laboratories;Instrumente, die in medizinischen Laboratorien
Instruments used in oncology;Instrumente, die in der Onkologie
Instruments used in physical medicine and rehabilitation;Instrumente, die in der physikalischen Medizin und rehabilitation
Instruments used in plastic surgery;Instrumente, die in der plastischen Chirurgie
Instruments used in preventive medicine;Instrumente, die in der präventiven Medizin
Instruments used in urology;Instrumente, die in der Urologie
International Classification of Diseases for Oncology;International Classification of Diseases for Oncology
Lists of diseases;Listen von Krankheiten
Lists of nutrition topics;Listen von Themen Ernährung
Medical prefixes, suffixes, and combining forms;Medizinische Präfixe, Suffixe und kombinieren von Formen
Medical procedure;Medizinische Verfahren
Movement disorder;Bewegungsstörung
Nutrition disorder;Ernährung Störung
Oral contraceptive pill;Pille
Outline of autism;Gliederung des Autismus
Outline of medicine;Gliederung der Medizin
Outline of nutrition;Gliederung der Ernährung
Pancreatic disease;Erkrankungen der Bauchspeicheldrüse
Procedure code;Zivilprozessordnung
RASopathy;RASopathy
Rasmussen syndrome;Rasmussen-Syndrom
Reference ranges for blood tests;Referenzbereiche für Blut-tests
Surgical emergency;Chirurgischer Notfall
Timeline of medicine and medical technology;Zeitleiste der Medizin und Medizintechnik
Urogenital malformation;Urogenitalen Fehlbildungen
Familial cold urticaria;Familiäre kälteurtikaria
Negative predictive value;Beurteilung eines Klassifikators
Primary cold contact urticaria;Primäre kalt Kontakt-Urtikaria
Reflex cold urticaria;Reflex-Kälte-Urtikaria
Secondary cold contact urticaria;Sekundäre kalt Kontakt-Urtikaria
De Materia Medica (Dioscorides);De Materia Medica (Dioskurides)
1984 Rajneeshee bioterror attack;1984 Rajneeshee bioterroristischer Angriff
Alaska Mental Health Enabling Act;Alaska Psychische Gesundheit Ermächtigungsgesetz
Anti-tobacco movement in Nazi Germany;Maßnahmen gegen das Rauchen im NS-Staat
Frank Macfarlane Burnet;Frank Macfarlane Burnet
Fungus;Pilz
Golding Bird;Golding Bird
Hippocrates;Hippokrates
Michael Woodruff;Michael Woodruff
Neil Hamilton Fairley;Neil Hamilton Fairley
Paul Nobuo Tatsuguchi;Paul Nobuo Tatsuguchi
Ray Farquharson;Ray Farquharson
Rosetta@home;Rosetta@home
Ryan White;Ryan White (AIDS-Aktivist)
Samuel Johnson;Samuel Johnson
William S. Sadler;William S. Sadler
Buchanan Medal;Buchanan Medal
Timeline of peptic ulcer disease and Helicobacter pylori;Timeline von Magengeschwüren und Helicobacter pylori
Timeline of tuberous sclerosis;Zeitleiste der Tuberöse Sklerose
1918 flu pandemic;Grippe-Pandemie 1918
1971 Iraq poison grain disaster;1971 Irak Gift-grain-Katastrophe
2,3,7,8-Tetrachlorodibenzodioxin;2,3,7,8-Tetrachlordibenzodioxin
2007 Bernard Matthews H5N1 outbreak;2007 Bernard Matthews H5N1-Ausbruch
Abortion–breast cancer hypothesis;Abtreibung-Brust-Krebs-Hypothese
Alkaline diet;Basische Ernährung
Animal testing;Tierversuch
Aniru Conteh;Aniru Conteh
Apothecaries' system;Apothekergewicht
Bahrain health worker trials;Bahrain Gesundheit der Arbeiter Studien
Barend Joseph Stokvis;Barend Joseph Stokvis
Birt–Hogg–Dubé syndrome;Birt-Hogg-Dubá-Syndrom
Carl Tanzler;Carl von Cosel
Coffin birth;Sarggeburt
Edward Ford (physician);Edward Ford (Arzt)
Elmer Ernest Southard;Elmer Ernest Southard
Ethylene glycol poisoning;Ethylenglykol-Vergiftung
Evan O'Neill Kane;Evan O ' Neill Kane
Geisel School of Medicine;Geisel School of Medicine
Gerald Fischbach;Gerald Fischbach
HIV/AIDS in Malawi;HIV/AIDS in Malawi
Helen Mayo;Helen Mayo
Hereditary coproporphyria;Hereditäre Koproporphyrie
Hermaphrodite (Nadar);Zwitter (Nadar)
Hospice care in the United States;Hospiz-Pflege in den Vereinigten Staaten
International emergency medicine;Internationale Notfallmedizin
James McCune Smith;James McCune Smith
John Benjamin Murphy;John Benjamin Murphy
John Struthers (anatomist);John Struthers (Anatom)
Joseph Merrick;Joseph Merrick
Klas August Linderfelt;Klas August Linderfelt
LEOPARD syndrome;LEOPARD-Syndrom
Leonardo da Vinci;Leonardo da Vinci
Lujan–Fryns syndrome;Lujan-Fryns-Syndrom
Malpuech facial clefting syndrome;Malpuech Gesichts-clefting-Syndrom
Mayo Foundation v. United States;Mayo Foundation v. United States,
Mu wave;Mu Welle
Nasodigitoacoustic syndrome;Nasodigitoacoustic-Syndrom
Neuroacanthocytosis;Neuroakanthozytose
New York Rescue Workers Detoxification Project;New York Rettungskräfte Entgiftung Projekt
Political abuse of psychiatry in the Soviet Union;Politischen Missbrauch der Psychiatrie in der Sowjetunion
Pulvermacher's chain;Pulvermacher - Kette
Rape and pregnancy controversies in United States elections, 2012;Vergewaltigung und Schwangerschaft kontroversen in den USA Wahlen 2012
Robert White (Virginia physician);Robert Weiß (Virginia Arzt)
SENSOR-Pesticides;SENSOR-Pestizide
Stafford L. Warren;Stafford L. Warren
Terri Schiavo case;Terri Schiavo
Thomas Hinde;Thomas Hinde
Tobacco smoke enema;Tabakrauch Einlauf
Traditional African medicine;Traditionelle afrikanische Medizin
Victor Negus;Victor Ewings Negus
1,1,1,2-Tetrafluoroethane;1,1,1,2-Tetrafluorethan
1p36 deletion syndrome;1p36 Löschung Syndrom
2009 flu pandemic by country;2009 Grippe-Pandemie von Land
2009 flu pandemic in Costa Rica;2009 Grippe-Pandemie in Costa Rica
2009–2010 flu pandemic in Europe;2009-2010 Grippe-Pandemie in Europa
AEMT-CC;AEMT-CC
Aarskog–Scott syndrome;Aarskog-Syndrom
Aceruloplasminemia;Acaeruloplasminämie
Acrodermatitis enteropathica;Hereditäres Zinkmangelsyndrom
Acute decompensated heart failure;Akut dekompensierte Herzinsuffizienz
Adrenal cortex;Nebenniere#Nebennierenrinde
Adrenoleukodystrophy;Adrenoleukodystrophie
Agglutination (biology);Agglutination (Biologie)
Alain de Weck;Alain L. de Weck
Alan Clemetson;Alan Clemetson
Alcoholics Anonymous;Anonyme Alkoholiker
Alexander Fleming;Alexander Fleming
Alexander Gurwitsch;Alexander Gawrilowitsch Gurwitsch
Alexithymia;Alexithymie
Ali Maow Maalin;Ali Maow Maalin
Alice Lazzarini;Alice Lazzarini
Alien hand syndrome;Alien-Hand-Syndrom
Alveolar osteitis;Alveolitis sicca
Ambulance Service of New South Wales;Krankenwagen von New South Wales
America's Affordable Health Choices Act of 2009;America ' s Bezahlbare Gesundheit Entscheidungen Act von 2009
American Academy of Cardiovascular Perfusion;American Academy of Cardiovascular Perfusion
American Medical Association;American Medical Association
Americans with Disabilities Act of 1990;Americans with Disabilities Act von 1990
Amusia;Amusie
Amylin;Amylin
Ancient Egyptian medicine;Medizin im Alten Ägypten
Andrew Wakefield;Andrew Wakefield
Androgen insensitivity syndrome;Androgenresistenz
Animal models of schizophrenia;Tiermodellen der Schizophrenie
Anti-psychiatry;Antipsychiatrie
Anti-saccharomyces cerevisiae antibody;Anti-saccharomyces-cerevisiae-Antikörper
Antimicrobial copper-alloy touch surfaces;Antimikrobielle Kupferlegierungen-touch-Oberflächen
Antimicrobial peptides;Antimikrobielle Peptide
Antimicrobial properties of copper;Die antimikrobiellen Eigenschaften von Kupfer
Antonie van Leeuwenhoek;Antonie van Leeuwenhoek
Argyll Robertson pupil;Argyll-Robertson-Zeichen
Arsenic;Arsen
Art therapy;Kunsttherapie
Arterial blood gas sampling;Arterielle Blut-gas-sampling
Asbestos;Asbest
Assistive technology;Hilfsmittel (Rehabilitation)
Athetosis;Athetose
Atul Gawande;Atul Gawande
Aurora Health Care;Aurora Gesundheitswesen
